Institution_Name,State,Policy_2026,Policy_Details,Is_policy_temporary,Link_to_policy,Pct_enroll_no_scores,Control_of_institution
Indiana University-Southeast,IN,Test Optional,,Unannounced,https://www.ius.edu/undergraduate-admissions/apply/freshman-students.html,63%,Public
Indiana Wesleyan University-Marion,IN,Test Optional,,Unannounced,,34%,Private not-for-profit
Indiana Wesleyan University-National & Global,IN,Test Optional,,Unannounced,https://www.indwes.edu/undergraduate/admissions/admissions-requirements,,Private not-for-profit
Institute of American Indian and Alaska Native Culture and Arts Development,NM,Test Optional,6,Unannounced,,100%,Public
Institute of Production and Recording,MN,Test Optional,6,No,https://www.ipr.edu/admission-requirements/,,Private for-profit
Inter American University of Puerto Rico-Aguadilla,PR,Test Optional,,Unannounced,,,Private not-for-profit
Inter American University of Puerto Rico-Arecibo,PR,Test Optional,,Unannounced,,,Private not-for-profit
Inter American University of Puerto Rico-Barranquitas,PR,Test Optional,,Unannounced,,,Private not-for-profit
Inter American University of Puerto Rico-Bayamon,PR,Test Optional,,Unannounced,,,Private not-for-profit
Inter American University of Puerto Rico-Fajardo,PR,Test Optional,,Unannounced,,,Private not-for-profit
Inter American University of Puerto Rico-Guayama,PR,Test Optional,,Unannounced,,,Private not-for-profit
Inter American University of Puerto Rico-Metro,PR,Test Optional,,Unannounced,https://admissions.utexas.edu/apply/freshman-admission/faq,,Private not-for-profit
Inter American University of Puerto Rico-Ponce,PR,Test Optional,,Unannounced,,,Private not-for-profit
Inter American University of Puerto Rico-San German,PR,Test Optional,,Unannounced,,,Private not-for-profit
Interior Designers Institute,CA,Test Optional,,Unannounced,https://www.idi.edu/wp-content/uploads/2024/11/IDI-Catalog-Addendum-24-25-110124.pdf,,Private for-profit
International Baptist College and Seminary,AZ,Test Optional,,Unannounced,,,Private not-for-profit
"Iona University

",NY,Test Optional,,No,https://www.iona.edu/admissions-financial-aid/freshman-admissions/test-optional-admissions,90%,Private not-for-profit
Iowa State University,IA,Test Optional,,No,"https://www.iastate.edu/admission-and-aid/admissions/first-year-students#:~:text=Academic%20requirements,when%20they%20apply%20for%20admission.",24%,Public
Ithaca College,NY,Test Optional,,No,https://www.ithaca.edu/admission/undergraduate-admission/apply-ic/required-supporting-document,65%,Private not-for-profit
Jackson College,MI,Test Optional,,No,https://www.jccmi.edu/admissions/admissions-transcripts/,,Public
Jackson State University,MS,Test Optional,3,Unannounced,https://www.jsums.edu/admissions/,56%,Public
Jacksonville State University,AL,Test Optional,,No,https://www.jsu.edu/admissions/freshmen/index.html,41%,Public
Jacksonville University,FL,Test Optional,,Unannounced,,52%,Private not-for-profit
James Madison University,VA,Test Optional,,No,,74%,Public
Jarvis Christian University,TX,Test Optional,,Unannounced,https://catalog.jarvis.edu/content.php,,Private not-for-profit
Jewish Theological Seminary of America,NY,Test Optional,,Yes,,37%,Private not-for-profit
John Brown University,AR,Test Optional,,Unannounced,https://www.carrollu.edu/admissions/freshmen/how-to-apply,21%,Private not-for-profit
John Carroll University,OH,Test Optional,,Yes,https://jet-tour.heydays.io/exhibitors/1557,58%,Private not-for-profit
John Patrick University of Health and Applied Sciences,IN,Test Optional,,Unannounced,,,Private for-profit
John Paul the Great Catholic University,CA,Test Optional,3,Unannounced,,59%,Private not-for-profit
Johnson & Wales University-Charlotte,NC,Test Optional,,No,,79%,Private not-for-profit
Johnson & Wales University-Providence,RI,Test Optional,,No,,79%,Private not-for-profit
Johnson C Smith University,NC,Test Optional,,No,https://www.jcsu.edu/admissions/freshman-admissions,,Private not-for-profit
Jose Maria Vargas University,FL,Test Optional,,Unannounced,https://www.jmvu.edu/copy-of-general-admissions,,Private for-profit
Joyce University of Nursing and Health Sciences,UT,Test Optional,,Unannounced,https://www.joyce.edu/admissions/#linksection5,,Private for-profit
Judson University,IL,Test Optional,4,No,,35%,Private not-for-profit
Juniata College,PA,Test Optional,,No,,69%,Private not-for-profit
Kalamazoo College,MI,Test Optional,,No,,57%,Private not-for-profit
Kansas Christian College,KS,Test Optional,,Unannounced,https://kansaschristian.edu/application-process/,,Private not-for-profit
Kansas City Art Institute,MO,Test Optional,,Unannounced,,,Private not-for-profit
Kansas State University,KS,Test Optional,2,Unannounced,,100%,Public
Kansas Wesleyan University,KS,Test Optional,,Unannounced,,,Private not-for-profit
Kean University,NJ,Test Optional,3,No,,86%,Public
Keene State College,NH,Test Optional,4,Unannounced,,,Public
Kehilath Yakov Rabbinical Seminary,NY,Test Optional,,Unannounced,,,Private not-for-profit
Keiser University-Ft Lauderdale,FL,Test Optional,,Unannounced,https://residential.keiseruniversity.edu/undergraduate/,,Private not-for-profit
Kennesaw State University,GA,Test Optional,3,Yes,kennesaw.edu/admissions/undergraduate/admission-requirements/freshman.php,3%,Public
Kent State University at Ashtabula,OH,Test Optional,,Unannounced,,,Public
Kent State University at East Liverpool,OH,Test Optional,,Unannounced,,,Public
Kent State University at Geauga,OH,Test Optional,,Unannounced,,,Public
Kent State University at Kent,OH,Test Optional,,Unannounced,,21%,Public
Kent State University at Salem,OH,Test Optional,,Unannounced,,,Public
Kent State University at Stark,OH,Test Optional,,Unannounced,,,Public
Kent State University at Trumbull,OH,Test Optional,6,Unannounced,,,Public
Kent State University at Tuscarawas,OH,Test Optional,,Unannounced,,,Public
Kentucky State University,KY,Test Optional,,Unannounced,,50%,Public
Kentucky Wesleyan College,KY,Test Optional,,Yes,https://kwc.edu/admissions/admissions-policies/,20%,Private not-for-profit
Kenyon College,OH,Test Optional,,Yes,https://www.kenyon.edu/admissions-aid/apply-to-kenyon/standardized-testing-policy,69%,Private not-for-profit
Kettering University,MI,Test Optional,,Yes,https://www.kettering.edu/howtoapply,32%,Private not-for-profit
Keuka College,NY,Test Optional,,No,,79%,Private not-for-profit
Keystone College,PA,Test Optional,,No,,87%,Private not-for-profit
King University,TN,Test Optional,,No,,,Private not-for-profit
King's College,PA,Test Optional,3,No,https://www.kings.edu/admissions/school_counselors/sat_info,63%,Private not-for-profit
Knox College,IL,Test Optional,,No,,61%,Private not-for-profit
"Kutztown University of Pennsylvania
",PA,Test Optional,,Yes,https://www.kutztown.edu/admissions/apply/first-year-students.html,84%,Public
La Roche University,PA,Test Optional,4,Unannounced,https://www.laroche.edu/Admissions/Freshman_Admissions/Application_Options/,72%,Private not-for-profit
La Salle University,PA,Test Free,4,Yes,https://www.lasalle.edu/admissions/apply/freshman/how-to-apply/,78%,Private not-for-profit
La Sierra University,CA,Test Optional,3,Unannounced,,,Private not-for-profit
Laboure College of Healthcare,MA,Test Optional,,Unannounced,,83%,Private not-for-profit
Lac Courte Oreilles Ojibwe University,WI,Test Optional,,Unannounced,https://mylco.lco.edu/ICS/Admissions/,,Public
Lackawanna College,PA,Test Optional,6,Unannounced,,,Private not-for-profit
Lafayette College,PA,Test Optional,,Yes,https://admissions.lafayette.edu/apply/,47%,Private not-for-profit
LaGrange College,GA,Test Optional,,Unannounced,https://www.lagrange.edu/admission-and-aid/admission/apply/freshmen-requirements.html,,Private not-for-profit
Laguna College of Art and Design,CA,Test Optional,,Unannounced,,,Private not-for-profit
Lake Erie College,OH,Test Optional,,No,,60%,Private not-for-profit
Lake Forest College,IL,Test Optional,,No,https://www.lakeforest.edu/admissions/first-year-students/first-year-application-requirements,71%,Private not-for-profit
Lake Superior State University,MI,Test Optional,,Unannounced,https://www.lssu.edu/admissions/how-to-apply/,46%,Public
Lake Washington Institute of Technology,WA,Test Optional,,Unannounced,,,Public
Lake-Sumter State College,FL,Test Optional,6,Unannounced,,,Public
Lakeland University,WI,Test Optional,,Unannounced,"https://lakeland.edu/admissions/undergraduates#:~:text=Test%20Optional%20Admissions%20Policy,longer%20required%20to%20gain%20admission",,Private not-for-profit
Lamar University,TX,Test Optional,,Unannounced,https://www.lamar.edu/admissions/how-to-apply/freshmen/index.html#gsc.tab=0,90%,Public
Lancaster Bible College,PA,Test Optional,,Unannounced,https://www.lbc.edu/undergraduate/admissions/apply-now/,53%,Private not-for-profit
Lander University,SC,Test Optional,,Unannounced,,44%,Public
Landmark College,VT,Test Optional,,Unannounced,,,Private not-for-profit
Lane College,TN,Test Optional,,Unannounced,,,Private not-for-profit
Langston University,OK,Test Optional,3,Unannounced,,,Public
Laramie County Community College,WY,Test Optional,,Unannounced,,,Public
Laredo College,TX,Test Optional,,Unannounced,https://www.laredo.edu/admissions/_files/studentchecklist-form.pdf,,Public
Lasell University,MA,Test Optional,3,No,,78%,Private not-for-profit
Latin American Bible Institute,CA,Test Optional,,Unannounced,https://www.labi.edu/application-process,,Private not-for-profit
Laurus College,CA,Test Optional,,Unannounced,https://lauruscollege.edu/admissions/,,Private for-profit
Lawrence Technological University,MI,Test Optional,,Yes,https://www.ltu.edu/admissions/first-year/admission-requirements,,Private not-for-profit
Lawrence University,WI,Test Optional,,No,http://www.lawrence.edu/admissions,41%,Private not-for-profit
Le Moyne College,NY,Test Optional,,No,,72%,Private not-for-profit
Learnet Academy Inc,CA,Test Optional,,Unannounced,https://learnet.edu/admissions,,Private for-profit
Lebanon Valley College,PA,Test Optional,,No,https://www.lvc.edu/admission-aid/test-optional-policy/,55%,Private not-for-profit
Lee University,TN,Test Optional,,No,https://www.leeuniversity.edu/undergraduate/admissions-requirements/,-6%,Private not-for-profit
Lees-McRae College,NC,Test Optional,,No,,100%,Private not-for-profit
Lehigh University,PA,Test Optional,,No,"https://www1.lehigh.edu/admissions/admissions-requirements#:~:text=Lehigh%20University%20has%20adopted%20a,ACT%20test%20scores%20for%20consideration",50%,Private not-for-profit
Lenoir-Rhyne University,NC,Test Optional,,Unannounced,,,Private not-for-profit
Lesley University,MA,Test Free,,No,https://lesley.edu/academics/undergraduate-first-year-liberal-arts-and-non-bfa-how-to-apply-guide-us-students,,Private not-for-profit
LeTourneau University,TX,Test Optional,,Unannounced,,42%,Private not-for-profit
Lewis & Clark College,OR,Test Free,,No,https://college.lclark.edu/offices/admissions/apply/portfolio_path/,76%,Private not-for-profit
Lewis University,IL,Test Optional,4,No,https://www.lewisu.edu/admissions/undergraduate/test-optional.htm,65%,Private not-for-profit
Lewis-Clark State College,ID,Test Optional,"2,3",Unannounced,,85%,Public
Liberty University,VA,Test Optional,,Yes,https://www.liberty.edu/residential/undergraduate/,,Private not-for-profit
Life Pacific University,CA,Test Optional,,Yes,,97%,Private not-for-profit
Life University,GA,Test Optional,6,Unannounced,,39%,Private not-for-profit
LIM College,NY,Test Optional,,Unannounced,,75%,Private for-profit
Limestone University,SC,Test Optional,,Unannounced,https://www.limestone.edu/admissions/undergraduate,,Private not-for-profit
Lincoln Memorial University,TN,Test Optional,,No,https://www.lmunet.edu/undergraduate-admissions/admission-criteria,0%,Private not-for-profit
Lincoln University,MO,Test Optional,3,No,"https://abc17news.com/news/education/lincoln/2022/06/17/lincoln-university-changes-admission-requirements-standardized-testing-now-optional/#:~:text=Lincoln%20University%20says%20potential%20students,will%20be%20eligible%20for%20enrollment.",,Public
Lincoln University,CA,Test Optional,,Unannounced,,,Private not-for-profit
Lincoln University,PA,Test Optional,3,Unannounced,https://www.lincoln.edu/admissions/application-requirements.html,60%,Public
Lindenwood University,MO,Test Optional,1,No,https://www.lindenwood.edu/admissions/freshman-admissions/test-optional-policy/,69%,Private not-for-profit
Lindsey Wilson College,KY,Test Optional,1,Unannounced,,,Private not-for-profit
Linfield University,OR,Test Optional,3,No,,,Private not-for-profit
Lipscomb University,TN,Test Optional,,Yes,lipscomb.edu/admissions/freshmen-admissions/freshmen-admission-requirements,30%,Private not-for-profit
Living Arts College,NC,Test Optional,,Unannounced,https://www.living-arts-college.edu/interactive/admissions/index.html,,Private for-profit
Lock Haven University,PA,Test Optional,,No,https://lockhaven.edu/admissions/apply/,,Public
Logan University,MO,Test Optional,,Unannounced,,33%,Private not-for-profit
Lone Star College System,TX,Test Optional,6,No,https://www.lonestar.edu/admissions.htm,,Public
Long Island University,NY,Test Optional,,Unannounced,,44%,Private not-for-profit
Longwood University,VA,Test Optional,,No,https://catalog.longwood.edu/content.php,56%,Public
Longy School of Music of Bard College,MA,Test Optional,,Unannounced,,,Private not-for-profit
Lorain County Community College,OH,Test Optional,,Unannounced,https://www.lorainccc.edu/admissions-and-enrollment/admissions-policy/,,Public
Loras College,IA,Test Optional,3,Unannounced,https://www.loras.edu/testoptional/,,Private not-for-profit
Los Angeles College of Music,CA,Test Optional,,Unannounced,,,Private for-profit
Los Angeles Film School,CA,Test Optional,,Unannounced,,,Private for-profit
Louisiana State University and Agricultural & Mechanical College,LA,Test Optional,,Unannounced,https://lsu.edu/admissions/apply/test-optional-faq.php,0%,Public
Louisiana State University-Alexandria,LA,Test Optional,3,Unannounced,http://www.lsua.edu/admissions/apply/FirstYearStudents,0%,Public
Lourdes University,OH,Test Optional,,Unannounced,,100%,Private not-for-profit
Lower Columbia College,WA,Test Optional,,Unannounced,https://lowercolumbia.edu/apply/,,Public
Loyola Marymount University,CA,Test Optional,,Yes,https://admission.lmu.edu/learnmore/prospectivestudents/frequentlyaskedquestions,70%,Private not-for-profit
Loyola University Chicago,IL,Test Optional,4,Unannounced,https://www.luc.edu/undergrad/apply/freshman/requirements/,53%,Private not-for-profit
